UserId,MovieId,Pred_rating
1,1172,2.25960286085
1,1405,2.46966429772
1,2193,2.91012967924
1,2968,2.56430266781
2,52,3.8376626257
2,144,3.3851410902
2,248,3.69916785535
2,314,4.22410126279
2,319,4.14252742143
2,370,3.28111620037
2,371,3.43260394466
2,372,3.72802762286
2,382,3.88245256352
2,405,2.83113647807
2,485,3.2298302241
2,537,3.573566821
2,550,4.24319558273
2,616,3.7576732446
2,661,3.14309533599
2,720,3.49036554337
3,377,3.63447498739
3,592,3.45909988237
3,595,3.58419756605
3,736,3.37512180808
3,1197,3.78788133738
3,1721,3.50064200566
3,2716,3.51216953636
3,5349,3.55419732924
3,8636,3.46548916373
3,44191,3.83432187054
3,84236,3.625
4,185,3.84602286778
4,356,4.64320025475
4,357,4.41168639948
4,364,4.39609399698
4,410,4.08733573559
4,435,3.32322012643
4,440,4.40908724928
4,442,3.86170434856
4,588,4.39745257304
4,589,4.67755846277
4,594,4.4425266664
4,596,4.3481044881
4,610,4.09744190024
4,616,4.4382648743
4,919,4.72676783201
4,1022,4.23695015805
4,1028,4.56110357458
4,1032,4.42350187751
4,1033,4.22772894299
4,1282,4.58241373318
4,1334,3.80333817369
4,1372,3.76922523334
4,1580,4.32547393224
4,1858,3.31775659412
4,1967,4.48138636398
4,2033,4.26042353933
4,2078,4.63795085782
4,2081,4.34192225392
4,2085,4.22112981302
4,2087,4.54365813355
4,2094,3.71864524224
4,2096,4.55435097198
4,2102,4.63801966871
4,2124,4.16633125205
4,2141,4.3049433641
4,2454,4.10612314275
4,3034,4.63074797596
4,3108,4.42802022141
4,3255,4.47137803272
4,3263,4.38430168911
4,4006,4.38688973539
5,3,4.24048633842
5,39,3.93742060788
5,104,4.10853376406
5,788,4.12329574629
5,1247,3.68252736555
5,1485,4.44963837143
5,1544,4.12526328655
5,1777,3.91443118835
5,1997,4.14307722036
5,2770,4.19027342505
5,4018,4.19465281492
5,4025,4.77979284918
5,4447,4.29344438902
5,4718,4.32946464183
5,5266,4.19886397797
5,5995,3.56932519428
5,6373,4.25225794148
5,8376,3.94462075553
5,30749,3.59682002441
5,33679,3.88967311525
6,173,3.26942279347
6,1687,2.81556777638
6,2019,3.86986758181
6,2072,2.79996830514
6,2528,3.5709036007
6,2723,3.14973286345
6,3300,3.21204619905
6,4641,3.39987011916
6,4975,2.69700083039
7,260,4.11918035935
7,316,3.26278751949
7,377,3.47835603407
7,380,3.40707748466
7,480,3.48865811516
7,589,3.84939712752
7,1036,3.68784755601
7,1129,3.39479771514
7,1198,3.88295259499
7,1240,3.74573663317
7,1275,3.62522293576
7,1371,3.6087520592
7,1372,3.17730851326
7,1373,2.39364703431
7,1374,3.44028627525
7,1375,3.03195727758
7,1376,3.3109109558
7,1408,3.55842777317
8,32,4.15106236186
8,110,4.19551843768
8,1219,4.20913650332
8,1225,4.34216665233
8,1258,4.07897290423
8,1358,4.23245936673
8,1704,4.20541934557
8,1961,4.18685265135
8,2028,4.17177782521
8,2329,4.19757993399
8,2791,4.02594192589
8,2804,4.09759129595
8,2918,4.27884046554
8,3996,4.09176411008
8,5650,3.88886942189
8,8873,4.24008781454
8,8874,4.00112709831
8,33166,4.31731111927
8,40583,3.7980849646
8,40819,4.20417562982
8,42007,3.89130434783
8,43556,3.89130434783
8,43871,2.95058088807
8,44004,3.72575963011
9,1177,4.06330462447
9,1721,3.70865903185
9,2125,4.45272768921
9,2140,3.88110375996
9,2391,4.5123887368
9,2427,3.73907028952
9,2490,4.10770740399
9,2539,3.8898040774
9,2857,3.29478179199
10,592,3.66814881692
10,1101,3.61564334203
10,1127,3.83506463921
10,1210,4.07131646695
10,1220,4.04221464385
10,1240,4.03266126037
10,1291,4.01180020891
10,2406,3.76078859473
10,2410,3.49668848423
10,3019,4.22524517271
11,50,4.52228694155
11,778,4.44233829541
11,923,4.72922289989
11,1027,4.02105913178
11,1408,4.118645553
11,2762,4.25148931091
11,5669,3.84212588301
11,26614,4.18867823008
12,253,2.96258517172
12,673,2.18036703095
12,736,2.80060834764
12,737,1.71935091648
12,1032,2.57032819274
12,2460,1.48044394843
12,2668,2.72096350611
12,3146,3.81164870496
12,3176,2.42879664192
12,3324,5.10093864963
12,3770,4.12940379404
12,3773,3.52570945825
12,3780,2.83333333333
13,47,3.99548340903
13,296,3.98472948883
13,527,4.2675516268
13,587,3.71633393982
13,919,3.99319585806
13,1265,3.81442696067
13,2571,3.73726988435
13,4886,3.95199625397
13,4993,3.87833342439
13,58559,4.16169851626
13,64614,3.80624936901
14,2394,2.61894928809
14,2724,2.76116602282
14,3114,3.02548659559
14,3157,2.91372318797
15,371,2.59670948504
15,372,2.36165626916
15,429,1.92167335113
15,520,2.23372024713
15,913,3.37003351793
15,1100,1.66994094589
15,1183,2.61601005061
15,1283,3.23699206498
15,1289,3.26375054077
15,1385,2.45867554621
15,1502,0.981113729275
15,1689,2.27256561472
